record_id,region,country,date,network_type,operator,device_type,signal_strength_dbm,latency_ms,throughput_mbps,data_usage_gb,call_drop_rate,packet_loss_percent,jitter_ms,download_speed_mbps,upload_speed_mbps,num_connected_users,network_availability_percent,temperature_celsius,weather_condition
R00001,West,Italy,2023-01-01 00:00:00,5G,Vodafone,Router,-57,101,205.17,9.77,1.94,0.14,12.65,120.48,6.6,849,97.83,-3.0,Rainy
R00002,Central,Italy,2023-01-01 01:00:00,4G,Deutsche Telekom,Smartphone,-53,29,102.37,29.68,1.25,0.12,17.92,148.36,7.01,621,98.9,1.8,Rainy
R00003,East,Germany,2023-01-01 02:00:00,5G,Orange,Tablet,-79,42,16.93,6.26,1.03,0.87,11.52,65.69,8.48,910,96.45,11.6,Clear
R00004,Central,Netherlands,2023-01-01 03:00:00,4G,Vodafone,Tablet,-72,37,142.79,24.27,1.77,0.63,12.16,111.56,103.85,412,95.84,26.1,Cloudy
R00005,Central,Italy,2023-01-01 04:00:00,4G,Deutsche Telekom,Tablet,-67,77,173.31,3.33,0.84,0.46,8.1,219.78,21.15,612,97.25,4.3,Rainy
R00006,South,Germany,2023-01-01 05:00:00,5G,O2,Tablet,-68,92,187.77,10.93,1.13,0.04,2.57,291.22,34.35,601,98.95,2.4,Rainy
R00007,East,Spain,2023-01-01 06:00:00,4G,Deutsche Telekom,Tablet,-51,113,106.46,7.69,1.72,0.92,9.14,145.95,65.75,932,96.95,6.8,Stormy
R00008,East,Italy,2023-01-01 07:00:00,5G,Telecom Italia,Router,-74,96,33.28,29.32,0.79,0.38,18.57,208.95,44.04,896,99.57,7.8,Stormy
R00009,East,Netherlands,2023-01-01 08:00:00,5G,Deutsche Telekom,Tablet,-68,71,150.24,1.26,1.54,0.42,13.92,293.09,123.42,316,96.24,13.4,Clear
R00010,Central,Italy,2023-01-01 09:00:00,4G,Deutsche Telekom,Router,-71,114,89.09,21.79,0.51,0.29,10.31,234.69,95.4,378,98.79,11.2,Clear
R00011,West,Spain,2023-01-01 10:00:00,5G,Deutsche Telekom,Tablet,-55,65,237.25,7.81,1.4,0.89,12.8,12.94,53.33,65,97.34,-1.7,Rainy
R00012,East,Italy,2023-01-01 11:00:00,4G,Vodafone,Router,-93,32,130.65,24.43,1.02,0.34,11.61,281.31,51.08,330,95.54,22.8,Clear
R00013,Central,Netherlands,2023-01-01 12:00:00,4G,Orange,Router,-83,115,123.34,9.68,0.33,0.17,18.34,261.3,104.14,465,96.41,0.9,Rainy
R00014,South,Germany,2023-01-01 13:00:00,5G,Deutsche Telekom,Tablet,-65,36,84.21,6.02,0.27,0.5,5.25,88.62,29.75,763,99.29,34.1,Stormy
R00015,West,Netherlands,2023-01-01 14:00:00,5G,Deutsche Telekom,Tablet,-83,86,91.31,20.94,0.92,0.78,17.89,62.65,45.68,955,95.03,33.7,Clear
R00016,South,Germany,2023-01-01 15:00:00,5G,Telecom Italia,Tablet,-55,80,133.06,8.1,1.42,0.37,14.08,270.78,56.25,527,98.78,-1.7,Rainy
R00017,West,France,2023-01-01 16:00:00,5G,Telecom Italia,Tablet,-78,84,83.6,14.82,1.21,0.65,3.43,209.72,70.92,490,99.06,13.6,Rainy
R00018,Central,Netherlands,2023-01-01 17:00:00,4G,O2,Smartphone,-59,72,224.15,4.38,1.71,0.3,8.07,78.73,32.63,645,95.6,16.5,Stormy
R00019,North,Netherlands,2023-01-01 18:00:00,4G,O2,Smartphone,-53,24,115.36,21.88,0.78,0.72,9.29,217.03,27.8,346,99.81,39.8,Rainy
R00020,West,Spain,2023-01-01 19:00:00,4G,Telecom Italia,Router,-62,51,80.09,12.5,1.69,0.67,2.58,184.07,148.54,429,99.36,6.3,Cloudy
R00021,South,Italy,2023-01-01 20:00:00,5G,Orange,Router,-79,108,47.29,4.65,0.07,0.68,11.53,99.67,137.41,114,95.89,23.6,Cloudy
R00022,Central,Germany,2023-01-01 21:00:00,4G,O2,Smartphone,-75,64,171.36,22.38,0.73,0.65,5.93,171.46,80.92,209,96.21,15.6,Rainy
R00023,West,Germany,2023-01-01 22:00:00,4G,Orange,Router,-60,75,16.19,3.55,0.15,0.16,9.7,162.91,116.0,665,99.09,29.6,Clear
R00024,North,Spain,2023-01-01 23:00:00,5G,Telecom Italia,Tablet,-56,24,118.0,17.46,1.84,0.89,9.34,157.83,102.73,912,97.73,6.2,Cloudy
R00025,North,Spain,2023-01-02 00:00:00,5G,O2,Router,-77,106,142.03,18.42,0.95,0.59,10.91,160.04,15.89,225,99.61,25.6,Cloudy
R00026,East,Italy,2023-01-02 01:00:00,5G,Deutsche Telekom,Router,-84,95,91.55,27.95,0.63,0.38,17.08,10.12,80.1,615,99.9,0.8,Cloudy
R00027,East,Italy,2023-01-02 02:00:00,4G,Telecom Italia,Router,-68,53,189.96,4.95,0.98,0.17,15.83,87.9,31.67,174,96.72,-4.3,Cloudy
R00028,South,Netherlands,2023-01-02 03:00:00,5G,O2,Smartphone,-85,80,172.16,19.77,1.07,0.78,17.59,134.95,89.69,124,95.48,-4.2,Clear
R00029,West,France,2023-01-02 04:00:00,4G,Orange,Smartphone,-59,106,243.14,11.73,1.69,0.51,11.87,46.9,13.96,683,98.52,17.2,Stormy
R00030,West,Italy,2023-01-02 05:00:00,4G,Orange,Router,-68,99,132.1,12.32,1.08,0.15,12.7,227.26,28.62,602,99.62,29.7,Clear
R00031,East,Spain,2023-01-02 06:00:00,4G,O2,Tablet,-61,81,139.07,15.3,0.86,0.92,9.18,255.6,118.35,554,95.82,21.0,Stormy
R00032,West,Italy,2023-01-02 07:00:00,4G,Orange,Router,-52,88,69.0,7.4,1.92,0.11,14.63,247.15,127.27,388,99.93,-3.4,Cloudy
R00033,West,Germany,2023-01-02 08:00:00,4G,O2,Smartphone,-81,82,102.52,14.1,1.94,0.52,4.89,143.29,136.58,931,95.98,19.8,Cloudy
R00034,North,France,2023-01-02 09:00:00,5G,O2,Tablet,-80,63,16.45,20.76,0.08,0.61,10.03,210.3,135.03,622,95.43,0.1,Clear
R00035,East,Netherlands,2023-01-02 10:00:00,4G,Orange,Router,-51,47,175.43,13.98,1.41,1.0,14.57,32.3,136.52,184,97.48,38.4,Clear
R00036,Central,Germany,2023-01-02 11:00:00,5G,Vodafone,Smartphone,-89,89,84.79,1.75,0.74,0.14,15.78,67.82,18.73,998,99.03,10.9,Stormy
R00037,East,Germany,2023-01-02 12:00:00,4G,Deutsche Telekom,Tablet,-93,32,139.69,8.11,1.35,0.61,5.71,23.61,100.63,526,96.77,17.7,Clear
R00038,Central,France,2023-01-02 13:00:00,4G,Telecom Italia,Router,-65,62,71.2,10.87,1.27,0.48,4.45,289.98,106.65,663,96.66,10.2,Rainy
R00039,North,Netherlands,2023-01-02 14:00:00,5G,Deutsche Telekom,Smartphone,-84,49,159.05,10.96,0.66,0.26,6.48,176.55,43.89,102,95.99,16.0,Clear
R00040,South,Spain,2023-01-02 15:00:00,4G,Telecom Italia,Tablet,-88,45,117.42,2.89,1.97,0.94,18.48,60.82,148.97,277,99.93,38.1,Cloudy
R00041,West,Netherlands,2023-01-02 16:00:00,4G,Telecom Italia,Router,-71,100,125.65,13.76,0.71,0.79,3.45,215.19,46.45,914,96.71,6.7,Clear
R00042,North,Italy,2023-01-02 17:00:00,5G,Deutsche Telekom,Tablet,-52,82,236.23,20.91,1.26,0.78,19.11,151.85,88.36,149,98.33,27.3,Cloudy
R00043,West,Germany,2023-01-02 18:00:00,5G,O2,Tablet,-61,92,179.48,1.94,1.63,0.9,19.9,135.93,131.49,971,95.66,29.0,Rainy
R00044,South,Italy,2023-01-02 19:00:00,4G,Orange,Tablet,-84,76,72.86,22.65,0.29,0.73,15.89,274.9,46.93,526,97.25,3.6,Cloudy
R00045,South,Spain,2023-01-02 20:00:00,4G,Vodafone,Smartphone,-75,83,130.94,28.68,0.6,0.51,15.45,215.38,92.94,878,98.98,27.8,Clear
R00046,North,Italy,2023-01-02 21:00:00,4G,Vodafone,Router,-70,99,122.0,0.78,0.4,0.39,19.11,210.29,109.4,398,99.85,24.2,Stormy
R00047,South,Netherlands,2023-01-02 22:00:00,5G,Vodafone,Tablet,-94,68,200.81,6.21,1.56,0.7,6.52,38.22,95.87,84,95.89,8.1,Rainy
R00048,Central,Italy,2023-01-02 23:00:00,4G,Deutsche Telekom,Tablet,-82,71,210.01,16.53,1.6,0.6,3.45,36.69,63.86,308,95.47,18.5,Rainy
R00049,South,Spain,2023-01-03 00:00:00,5G,Deutsche Telekom,Tablet,-92,82,78.03,6.93,0.51,0.54,16.64,202.69,141.99,415,99.94,21.5,Clear
R00050,West,Spain,2023-01-03 01:00:00,5G,O2,Smartphone,-79,101,207.08,23.06,0.01,0.59,4.25,55.38,93.78,530,97.77,32.6,Rainy
R00051,West,Spain,2023-01-03 02:00:00,4G,Vodafone,Tablet,-91,32,53.08,9.71,0.85,0.66,1.86,141.44,37.53,369,96.73,0.6,Cloudy
R00052,West,Netherlands,2023-01-03 03:00:00,5G,O2,Smartphone,-72,112,193.06,9.16,1.37,0.97,4.73,175.24,121.89,188,99.8,38.7,Stormy
R00053,West,Spain,2023-01-03 04:00:00,4G,Vodafone,Smartphone,-89,107,69.71,0.53,1.25,0.75,9.32,122.55,100.1,951,96.95,29.6,Clear
R00054,Central,Germany,2023-01-03 05:00:00,4G,Deutsche Telekom,Tablet,-73,64,81.5,8.47,0.89,0.18,10.41,34.69,20.88,179,96.16,19.1,Rainy
R00055,East,Spain,2023-01-03 06:00:00,5G,Orange,Tablet,-79,65,214.59,6.92,0.6,0.47,2.19,225.57,45.33,857,99.02,29.9,Cloudy
R00056,North,Italy,2023-01-03 07:00:00,5G,Orange,Smartphone,-84,96,110.82,10.63,0.95,0.68,9.42,266.66,27.93,432,96.57,28.0,Cloudy
R00057,West,Italy,2023-01-03 08:00:00,5G,Orange,Smartphone,-85,108,247.74,4.86,0.03,0.18,12.48,56.89,15.54,667,96.61,15.7,Rainy
R00058,South,Italy,2023-01-03 09:00:00,5G,Orange,Tablet,-85,60,46.47,18.04,0.15,0.93,18.7,257.69,38.38,960,97.22,10.1,Clear
R00059,West,Netherlands,2023-01-03 10:00:00,5G,Telecom Italia,Smartphone,-62,65,121.2,7.54,0.33,0.08,5.32,238.72,45.33,148,98.46,39.5,Cloudy
R00060,South,Italy,2023-01-03 11:00:00,5G,Vodafone,Smartphone,-59,20,185.79,25.04,1.25,0.61,5.01,173.52,72.65,463,99.21,34.8,Rainy
R00061,South,Netherlands,2023-01-03 12:00:00,4G,Orange,Tablet,-67,92,11.29,8.89,0.44,0.98,8.4,182.87,145.54,823,96.13,37.8,Clear
R00062,West,Netherlands,2023-01-03 13:00:00,4G,Telecom Italia,Tablet,-60,87,46.45,6.72,0.85,0.73,19.69,198.95,141.77,915,96.81,-2.8,Clear
R00063,Central,Spain,2023-01-03 14:00:00,4G,Telecom Italia,Router,-69,111,14.89,2.17,1.24,0.68,7.39,162.18,114.28,70,97.48,31.7,Cloudy
R00064,South,Germany,2023-01-03 15:00:00,5G,Telecom Italia,Tablet,-54,31,248.29,22.33,1.66,1.0,1.83,254.86,98.74,785,95.13,35.1,Clear
R00065,South,Spain,2023-01-03 16:00:00,5G,O2,Tablet,-74,107,192.55,15.49,1.1,0.79,6.05,147.49,142.35,490,98.49,16.5,Stormy
R00066,West,Spain,2023-01-03 17:00:00,5G,O2,Tablet,-94,92,99.65,3.86,0.35,0.97,11.61,168.65,25.65,744,97.83,35.1,Cloudy
R00067,South,Netherlands,2023-01-03 18:00:00,4G,Telecom Italia,Router,-60,54,47.51,7.03,1.9,0.7,8.84,20.66,52.9,901,95.67,-0.5,Clear
R00068,South,Netherlands,2023-01-03 19:00:00,4G,Orange,Smartphone,-66,118,31.69,29.96,0.18,0.67,15.71,62.22,85.23,404,95.65,-2.3,Stormy
R00069,West,Italy,2023-01-03 20:00:00,5G,Vodafone,Tablet,-89,52,137.66,24.28,0.73,0.76,12.54,272.1,123.02,752,99.48,8.1,Stormy
R00070,West,Italy,2023-01-03 21:00:00,5G,Deutsche Telekom,Tablet,-84,77,244.21,10.82,1.84,0.19,11.63,45.26,95.45,954,98.42,-3.8,Cloudy
R00071,North,Spain,2023-01-03 22:00:00,5G,O2,Router,-93,54,171.91,16.51,1.2,0.81,7.14,272.17,122.29,357,96.94,25.8,Rainy
R00072,Central,France,2023-01-03 23:00:00,5G,Orange,Router,-79,65,97.63,12.77,1.33,0.97,11.49,194.42,27.2,854,96.69,36.7,Clear
R00073,Central,France,2023-01-04 00:00:00,4G,Orange,Router,-55,103,130.2,1.57,0.6,0.61,12.7,276.84,32.95,247,96.58,8.3,Stormy
R00074,South,Italy,2023-01-04 01:00:00,4G,Deutsche Telekom,Smartphone,-64,85,249.74,23.47,0.16,0.01,4.4,246.15,112.38,507,98.27,24.7,Cloudy
R00075,Central,France,2023-01-04 02:00:00,4G,Deutsche Telekom,Router,-88,63,134.5,21.65,0.73,0.07,14.98,260.93,55.51,806,95.89,16.1,Clear
R00076,South,Italy,2023-01-04 03:00:00,5G,Orange,Smartphone,-73,45,241.41,12.56,0.8,0.23,8.47,162.07,68.23,570,99.94,6.5,Rainy
R00077,North,Netherlands,2023-01-04 04:00:00,4G,Deutsche Telekom,Tablet,-58,61,13.93,25.45,0.54,0.49,15.1,249.34,119.79,530,98.44,36.3,Clear
R00078,West,Spain,2023-01-04 05:00:00,5G,Orange,Tablet,-66,96,183.03,16.27,0.43,0.41,4.38,143.55,15.16,684,95.64,38.1,Rainy
R00079,West,Germany,2023-01-04 06:00:00,5G,Deutsche Telekom,Tablet,-81,49,160.52,2.42,0.71,0.98,13.47,22.81,29.36,961,95.69,1.1,Clear
